Rank,Player,2022/23,2022/23(*)
156.,Dario Saric,"$9,240,000","$9,797,061"
157.,Royce O'Neale,"$9,200,000","$9,754,649"
158.,Monte Morris,"$9,125,000","$9,675,128"
159.,Mason Plumlee,"$9,080,417","$9,627,857"
160.,Alex Caruso,"$9,030,000","$9,574,400"
161.,Maxi Kleber,"$9,000,000","$9,542,592"
162.,Grayson Allen,"$8,925,000","$9,463,070"
163.,Darius Garland,"$8,920,794","$9,458,610"
164.,Jabari Smith,"$8,882,640","$9,418,156"
165.,Isaiah Hartenstein,"$8,854,879","$9,388,722"
166.,Kyle Anderson,"$8,780,488","$9,309,846"
167.,Victor Oladipo,"$8,750,000","$9,277,520"
168.,Daniel Theis,"$8,694,369","$9,218,535"
169.,LaMelo Ball,"$8,623,920","$9,143,838"
170.,Seth Curry,"$8,496,653","$9,008,899"
171.,Evan Mobley,"$8,478,720","$8,989,885"
172.,Gary Payton II,"$8,300,000","$8,800,390"
173.,Dewayne Dedmon,"$8,283,688","$8,783,094"
174.,De'Anthony Melton,"$8,250,000","$8,747,376"
175.,JaMychal Green,"$8,200,000","$8,694,360"
176.,TJ McConnell,"$8,100,000","$8,588,332"
177.,Keegan Murray,"$8,008,440","$8,491,252"
178.,Kevon Looney,"$8,000,000","$8,482,304"
178.,Thaddeus Young,"$8,000,000","$8,482,304"
180.,Delon Wright,"$7,804,878","$8,275,418"
181.,Patrick Williams,"$7,775,400","$8,244,163"
182.,Scottie Barnes,"$7,644,600","$8,105,477"
183.,Cedi Osman,"$7,426,088","$7,873,792"
184.,Coby White,"$7,413,955","$7,860,927"
185.,Zach Collins,"$7,350,000","$7,793,116"
186.,Jaden Ivey,"$7,252,200","$7,689,420"
187.,Taurean Prince,"$7,100,000","$7,528,044"
188.,Jae'Sean Tate,"$7,065,217","$7,491,164"
189.,Isaac Okoro,"$7,040,880","$7,465,360"
190.,Cody Martin,"$7,000,000","$7,422,016"
191.,Jalen Suggs,"$6,922,320","$7,339,652"
192.,Jaxson Hayes,"$6,803,012","$7,213,152"
193.,Khem Birch,"$6,667,500","$7,069,470"
194.,Bennedict Mathurin,"$6,586,800","$6,983,905"
195.,Patrick Mills,"$6,479,000","$6,869,606"
195.,Bruce Brown,"$6,479,000","$6,869,606"
195.,Lonnie Walker,"$6,479,000","$6,869,606"
195.,Caleb Martin,"$6,479,000","$6,869,606"
195.,Joe Ingles,"$6,479,000","$6,869,606"
200.,Onyeka Okongwu,"$6,395,160","$6,780,711"
201.,Josh Giddey,"$6,287,400","$6,666,454"
202.,Rui Hachimura,"$6,263,188","$6,640,783"
203.,Rudy Gay,"$6,184,500","$6,557,351"
204.,Jevon Carter,"$6,025,000","$6,388,234"
205.,Shaedon Sharpe,"$6,012,960","$6,375,469"
206.,Cameron Payne,"$6,000,000","$6,361,728"
206.,Otto Porter,"$6,000,000","$6,361,728"
208.,Justin Holiday,"$5,987,975","$6,348,977"
209.,Cam Reddish,"$5,954,454","$6,313,436"
210.,Cameron Johnson,"$5,887,899","$6,242,868"
211.,Ricky Rubio,"$5,853,659","$6,206,564"
212.,Killian Hayes,"$5,837,760","$6,189,706"
213.,PJ Washington,"$5,808,435","$6,158,613"
214.,Jonathan Kuminga,"$5,739,840","$6,085,883"
215.,Pat Connaughton,"$5,728,393","$6,073,746"
216.,Tyler Herro,"$5,722,116","$6,067,090"
217.,Romeo Langford,"$5,634,257","$5,973,935"
218.,Dyson Daniels,"$5,508,600","$5,840,702"
219.,JaVale McGee,"$5,461,219","$5,790,465"
220.,Goga Bitadze,"$5,377,520","$5,701,719"
221.,Obi Toppin,"$5,348,280","$5,670,717"
222.,Franz Wagner,"$5,258,280","$5,575,291"
223.,Kendrick Nunn,"$5,250,000","$5,566,512"
224.,Hamidou Diallo,"$5,200,000","$5,513,497"
225.,Cory Joseph,"$5,155,500","$5,466,314"
225.,Garrett Temple,"$5,155,500","$5,466,314"
227.,Torrey Craig,"$5,121,951","$5,430,743"
228.,Jeremy Sochan,"$5,063,520","$5,368,789"
229.,David Nwaba,"$5,022,000","$5,324,766"
230.,Nickeil Alexander-Walker,"$5,009,633","$5,311,653"
231.,Furkan Korkmaz,"$5,000,000","$5,301,440"
232.,Deni Avdija,"$4,916,160","$5,212,545"
233.,Davion Mitchell,"$4,833,600","$5,125,008"
234.,Johnny Davis,"$4,810,320","$5,100,324"
235.,Ty Jerome,"$4,728,948","$5,014,046"
236.,Ishmael Smith,"$4,725,000","$5,009,860"
237.,Jalen Smith,"$4,670,160","$4,951,714"
238.,Ziaire Williams,"$4,591,680","$4,868,503"
239.,Ousmane Dieng,"$4,569,840","$4,845,346"
240.,Moe Harkless,"$4,564,980","$4,840,193"
241.,Jeff Green,"$4,500,000","$4,771,296"
241.,Donte DiVincenzo,"$4,500,000","$4,771,296"
243.,Devin Vassell,"$4,437,000","$4,704,497"
244.,Matisse Thybulle,"$4,379,526","$4,643,558"
245.,Jarred Vanderbilt,"$4,374,000","$4,637,699"
246.,James Bouknight,"$4,362,240","$4,625,230"
247.,Brandon Clarke,"$4,343,919","$4,605,805"
248.,Jalen Williams,"$4,341,480","$4,603,219"
249.,Grant Williams,"$4,306,281","$4,565,898"
250.,Darius Bazley,"$4,264,628","$4,521,733"
251.,Tyrese Haliburton,"$4,215,120","$4,469,241"
252.,Nassir Little,"$4,171,548","$4,423,042"
253.,Josh Primo,"$4,144,320","$4,394,172"
254.,Jalen Duren,"$4,124,280","$4,372,924"
255.,Gorgui Dieng,"$4,105,236","$4,352,732"
256.,Danuel House,"$4,105,000","$4,352,482"
257.,Boban Marjanovic,"$4,101,478","$4,348,747"
258.,Justise Winslow,"$4,097,561","$4,344,594"
259.,Dylan Windler,"$4,037,277","$4,280,676"
260.,Stanley Johnson,"$4,022,164","$4,264,651"
261.,Kira Lewis,"$4,004,280","$4,245,690"
262.,George Hill,"$4,000,000","$4,241,152"
